id,text,text_lemmatized
1,Mira este artículo sobre PLN https://huggingface.co #NLP @usuario 2025,mirar este artículo sobre PLN https://huggingface.co # NLP @usuario 2025
2,¡Hola Twitter! Probando mi primera publicación :),¡ Hola Twitter ! probar mi primero publicación :)
3,Me encanta aprender Machine Learning y Deep Learning #IA #ML,yo encantar aprender Machine Learning y Deep Learning # IA # ML
4,Los perros corren más rápido que los gatos en 2024!,el perro correr más rápido que el gato en 2024 !
5,Los modelos de lenguaje están mejorando rápidamente #IA @openai,el modelo de lenguaje estar mejorar rápidamente # IA @openai
6,"El nuevo iPhone 15 cuesta 1299 USD, impresionante!","el nuevo iphonir 15 costar 1299 USD , impresionante !"
7,No puedo esperar al fin de semana #ViernesFeliz,no poder esperar al fin de semana # ViernesFeliz
8,El COVID cambió el mundo en 2020.,el COVID cambiar el mundo en 2020 .
9,@elonmusk está hablando de Marte otra vez 🚀,@elonmusk estar hablar de Marte otro vez 🚀
10,SpaCy y NLTK son geniales para el preprocesamiento de texto.,SpaCy y NLTK ser genial para el preprocesamiento de texto .
